"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Affectionate Indrik","grn","Near Mint","English","","","2023-10-26 21:38:17.963000","121","False","False","0.03"
"3","3","Agent of the Shadow Thieves","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","108","False","False","0.12"
"2","2","Agonizing Remorse","thb","Near Mint","English","","","2023-10-26 21:38:17.963000","83","False","False","0.03"
"1","1","Agoraphobia","ddm","Near Mint","English","","","2023-10-26 21:38:17.963000","22","False","False","0.03"
"2","2","Ahn-Crop Champion","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","194","False","False","0.06"
"7","7","Ahn-Crop Crasher","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","117","False","False","0.07"
"1","1","Ainok Artillerist","dtk","Near Mint","English","","","2023-10-26 21:38:17.963000","171","False","False","0.03"
"1","1","Air Elemental","m20","Near Mint","English","","","2023-10-26 21:38:17.963000","44","False","False","0.04"
"1","1","Air Servant","w16","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.01"
"1","1","Airdrop Aeronauts","aer","Near Mint","English","","","2023-10-26 21:38:17.963000","5","False","False","0.02"
"2","2","Ajani, Caller of the Pride","m14","Near Mint","English","","","2023-10-26 21:38:17.963000","1","False","False","1.58"
"1","1","Ajani's Chosen","woc","Near Mint","English","","","2023-10-26 21:38:17.963000","59","False","False","0.19"
"1","1","Ajani's Pridemate","war","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.14"
"2","2","Akiri, Fearless Voyager","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","335","False","False","0.14"
"2","2","Akki Battle Squad","nec","Near Mint","English","","","2023-10-26 21:38:17.963000","18","False","False","0.79"
"1","1","Akoum Refuge","c19","Near Mint","English","","","2023-10-26 21:38:17.963000","226","False","False","0.16"
"1","1","Akroan Hoplite","cn2","Near Mint","English","","","2023-10-26 21:38:17.963000","197","False","False","0.10"
"2","2","Alabaster Mage","2xm","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.01"
"1","1","Alchemist's Vial","ori","Near Mint","English","","","2023-10-26 21:38:17.963000","220","False","False","0.15"
"1","1","Alela, Artful Provocateur","ncc","Near Mint","English","","","2023-10-26 21:38:17.963000","325","False","False","0.41"
"1","1","Ali Baba","4ed","Near Mint","English","","","2023-10-26 21:38:17.963000","175","False","False","0.15"
"3","3","Alibou, Ancient Witness","c21","Near Mint","English","foil","","2023-10-26 21:38:17.963000","7","False","False","2.43"
"1","1","Alive // Well","dgm","Near Mint","English","","","2023-10-26 21:38:17.963000","121","False","False","0.10"
"2","2","Alloy Animist","bro","Near Mint","English","","","2023-10-26 21:38:17.963000","166","False","False","0.02"
"2","2","Alora, Merry Thief","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","55","False","False","0.04"
"1","1","Alpha Authority","gtc","Near Mint","English","","","2023-10-26 21:38:17.963000","114","False","False","1.62"
"2","2","Alpine Houndmaster","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","215","False","False","0.11"
"4","4","Altar of Bhaal // Bone Offering","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","109","False","False","0.20"
"2","2","Amber Gristle O'Maul","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","159","False","False","0.05"
"1","1","Ambition's Cost","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","246","False","False","0.11"
"1","1","Ambulatory Edifice","one","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.02"
"1","1","Ammit Eternal","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","57","False","False","0.27"
"1","1","Amplifire","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","92","False","False","0.09"
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","51","False","False","3.35"
"1","1","Ancestral Anger","vow","Near Mint","English","","","2023-11-12 15:45:54.873000","142","False","False",""
"1","1","Anchor to Reality","neo","Near Mint","English","","","2023-10-26 21:38:17.963000","45","False","False","0.07"
"1","1","Ancient Brass Dragon","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","111","False","False","16.61"
"3","3","Ancient Den","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","276","False","False","1.42"
"1","1","Angel of Condemnation","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","3","False","False","0.37"
"1","1","Angel of Finality","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","169","False","False","0.17"
"2","2","Angel of Flight Alabaster","voc","Near Mint","English","","","2023-10-26 21:38:17.963000","77","False","False","0.09"
"1","1","Angel of Salvation","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","170","False","False","0.08"
"2","2","Angel of Serenity","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","83","False","False","0.40"
"3","3","Angel of Suffering","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","67","False","False","0.87"
"2","2","Angel of the God-Pharaoh","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.06"
"2","2","Angel of the Ruins","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","171","False","False","0.19"
"1","1","Angelic Arbiter","cma","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","1.60"
"1","1","Angelic Ascension","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","3","False","False","0.05"
"1","1","Angelic Exaltation","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.19"
"6","6","Angelic Quartermaster","vow","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.05"
"2","2","Angel's Tomb","ori","Near Mint","English","","","2023-10-26 21:38:17.963000","222","False","False","0.12"
"2","2","Anger","afc","Near Mint","English","","","2023-10-26 21:38:17.963000","113","False","False","3.93"
"2","2","Angler Drake","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","41","False","False","0.02"
"1","1","Angrath, Captain of Chaos","war","Near Mint","English","","","2023-10-26 21:38:17.963000","227","False","False","0.18"
"1","1","Animal Magnetism","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","271","False","False","0.07"
"1","1","Animal Sanctuary","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","242","False","False","1.14"
"1","1","Animate Dead","ema","Near Mint","English","","","2023-10-26 21:38:17.963000","78","False","False","5.71"
"1","1","Animist's Awakening","c20","Near Mint","English","","","2023-10-26 21:38:17.963000","166","False","False","2.20"
"1","1","Anje, Maid of Dishonor","vow","Near Mint","English","","","2023-10-26 21:38:17.963000","231","False","False","0.16"
"2","2","Annex Sentry","one","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.09"
"1","1","Annihilate","ema","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.04"
"1","1","Anoint with Affliction","one","Near Mint","English","","","2023-10-26 21:38:17.963000","81","False","False","0.08"
"1","1","Anointed Peacekeeper","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.40"
"2","2","Anowon, the Ruin Sage","voc","Near Mint","English","","","2023-10-26 21:38:17.963000","118","False","False","0.87"
"1","1","Antagonize","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","100","False","False","0.03"
"1","1","Aphetto Alchemist","ons","Near Mint","English","","","2023-10-26 21:38:17.963000","64","False","False","3.32"
"1","1","Apocalypse Demon","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","58","False","False","0.16"
"3","3","Appeal // Authority","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","152","False","False","0.17"
"3","3","Approach of the Second Sun","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","2.08"
"2","2","Arachnogenesis","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","272","False","False","3.50"
"3","3","Arashin War Beast","frf","Near Mint","English","","","2023-10-26 21:38:17.963000","123","False","False","0.02"
"1","1","Arbalest Engineers","bro","Near Mint","English","","","2023-10-26 21:38:17.963000","206","False","False","0.03"
"1","1","Arbor Colossus","c15","Near Mint","English","","","2023-10-26 21:38:17.963000","174","False","False","0.13"
"3","3","Arbor Elf","a25","Near Mint","English","","","2023-10-26 21:38:17.963000","160","False","False","0.29"
"1","1","Arc Lightning","ktk","Near Mint","English","","","2023-10-26 21:38:17.963000","97","False","False","0.07"
"3","3","Arc Spitter","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","233","False","False","0.05"
"1","1","Arcane Denial","woc","Near Mint","English","","","2023-10-26 21:38:17.963000","84","False","False","3.21"
"2","2","Arcane Encyclopedia","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","297","False","False","0.05"
"1","1","Arcane Melee","c13","Near Mint","English","","","2023-10-26 21:38:17.963000","29","False","False","0.28"
"1","1","Arcane Sanctum","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","390","False","False","0.22"
"20","20","Arcane Signet","woc","Near Mint","English","","","2023-10-26 21:38:17.963000","145","False","False","0.86"
"3","3","Arcbound Javelineer","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","2","False","False","0.05"
"1","1","Arcbound Prototype","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.03"
"2","2","Arcbound Shikari","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","184","False","False","0.03"
"2","2","Arcbound Slasher","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","111","False","False","0.02"
"1","1","Arcbound Tracker","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","112","False","False","0.02"
"2","2","Arcbound Whelp","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","113","False","False","0.02"
"1","1","Archaeomancer","uma","Near Mint","English","","","2023-10-26 21:38:17.963000","45","False","False","0.25"
"2","2","Archaeomancer's Map","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","12","False","False","8.16"
"2","2","Archetype of Endurance","bng","Near Mint","English","","","2023-10-26 21:38:17.963000","116","False","False","0.81"
"1","1","Archetype of Finality","bng","Near Mint","English","","","2023-10-26 21:38:17.963000","58","False","False","0.72"
"1","1","Archfiend of Ifnir","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","78","False","False","2.97"
"2","2","Archfiend of Sorrows","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","74","False","False","0.02"
"2","2","Archghoul of Thraben","vow","Near Mint","English","","","2023-10-26 21:38:17.963000","93","False","False","0.14"
"2","2","Archivist of Oghma","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","5.71"
"1","1","Archmage Emeritus","stx","Near Mint","English","","","2023-10-26 21:38:17.963000","37","False","False","3.22"
"1","1","Archon of Cruelty","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","75","False","False","9.34"
"1","1","Archway Angel","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","3","False","False","0.07"
"1","1","Arctic Aven","m13","Near Mint","English","","","2023-10-26 21:38:17.963000","42","False","False","0.06"
"3","3","Ardent Dustspeaker","stx","Near Mint","English","","","2023-10-26 21:38:17.963000","92","False","False","0.03"
"2","2","Arm the Cathars","vow","Near Mint","English","","","2023-10-26 21:38:17.963000","3","False","False","0.01"
"4","4","Armed // Dangerous","dgm","Near Mint","English","","","2023-10-26 21:38:17.963000","122","False","False","0.08"
"1","1","Armillary Sphere","cmr","Near Mint","English","","","2023-10-26 21:38:17.963000","298","False","False","0.06"
"1","1","Armix, Filigree Thrasher","cmr","Near Mint","English","","","2023-10-26 21:38:17.963000","108","False","False","0.14"
"2","2","Armorcraft Judge","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","273","False","False","0.10"
"1","1","Armored Scrapgorger","one","Near Mint","English","","","2023-10-26 21:38:17.963000","158","False","False","0.17"
"1","1","Arms Race","bro","Near Mint","English","","","2023-10-26 21:38:17.963000","126","False","False","0.02"
"1","1","Army of the Damned","ncc","Near Mint","English","","","2023-10-26 21:38:17.963000","242","False","False","0.40"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","193","False","False","0.05"
"1","1","Arrest","mm2","Near Mint","English","","","2023-10-26 21:38:17.963000","9","False","False","0.06"
"1","1","Arrester's Zeal","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.04"
"1","1","Arrows of Justice","gtc","Near Mint","English","","","2023-10-26 21:38:17.963000","211","False","False","0.08"
"1","1","Arterial Flow","rix","Near Mint","English","","","2023-10-26 21:38:17.963000","62","False","False","0.30"
"1","1","Artificer's Dragon","prm","Near Mint","English","","","2023-11-13 22:47:05.667000","105814","False","False",""
"2","2","Artificer's Hex","m14","Near Mint","English","","","2023-10-26 21:38:17.963000","85","False","False","0.10"
"1","1","Artillery Blast","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","6","False","False","0.02"
"1","1","Artistic Refusal","mom","Near Mint","English","","","2023-10-26 21:38:17.963000","46","False","False","0.01"
"2","2","Arvad the Cursed","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","317","False","False","0.10"
"1","1","As Foretold","2x2","Near Mint","English","","","2023-10-26 21:38:17.963000","38","False","False","1.61"
"2","2","Ascendant Acolyte","nec","Near Mint","English","","","2023-10-26 21:38:17.963000","24","False","False","0.18"
"2","2","Ascendant Packleader","vow","Near Mint","English","","","2023-10-26 21:38:17.963000","186","False","False","0.13"
"4","4","Ash Barrens","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","419","False","False","0.13"
"1","1","Ash, Party Crasher","woe","Near Mint","English","","","2023-10-26 21:38:17.963000","201","False","False","0.02"
"2","2","Ashaya, Soul of the Wild","znr","Near Mint","English","","","2023-10-26 21:38:17.963000","179","False","False","9.46"
"1","1","Ashiok, Wicked Manipulator","woe","Near Mint","English","","","2023-10-26 21:38:17.963000","78","False","False","1.49"
"2","2","Ashiok's Adept","bng","Near Mint","English","","","2023-10-26 21:38:17.963000","59","False","False","0.07"
"1","1","Ashiok's Reaper","woe","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.07"
"1","1","Ashling the Pilgrim","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","205","False","False","0.12"
"1","1","Ashnod the Uncaring","brc","Near Mint","English","","","2023-10-26 21:38:17.963000","4","False","False","0.28"
"1","1","Asmodeus the Archfiend","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","88","False","False","0.24"
"1","1","Asmoranomardicadaistinaculdacar","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","186","False","False","0.22"
"1","1","Aspect of Wolf","5ed","Near Mint","English","","","2023-10-26 21:38:17.963000","278","False","False","0.43"
"1","1","Aspirant's Ascent","one","Near Mint","English","","","2023-10-26 21:38:17.963000","40","False","False","0.01"
"2","2","Assassin's Ink","neo","Near Mint","English","","","2023-10-26 21:38:17.963000","87","False","False","0.04"
"2","2","Assault Formation","ima","Near Mint","English","","","2023-10-26 21:38:17.963000","155","False","False","0.86"
"1","1","Assault Strobe","som","Near Mint","English","","","2023-10-26 21:38:17.963000","82","False","False","0.24"
"1","1","Assault Suit","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","369","False","False","0.13"
"1","1","Assemble the Legion","onc","Near Mint","English","","","2023-10-26 21:38:17.963000","115","False","False","0.21"
"1","1","Astarion, the Decadent","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","265","False","False","2.91"
"1","1","Athreos, God of Passage","mb1","Near Mint","English","","","2023-10-30 21:48:27.477000","1391","False","False",""
"1","1","Atraxa's Skitterfang","one","Near Mint","English","","","2023-10-26 21:38:17.963000","223","False","False","0.02"
"1","1","Atsushi, the Blazing Sky","neo","Near Mint","English","","","2023-10-26 21:38:17.963000","134","False","False","3.94"
"6","6","Atzocan Archer","xln","Near Mint","English","","","2023-10-26 21:38:17.963000","176","False","False","0.04"
"2","2","Audacious Reshapers","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","47","False","False","0.10"
"1","1","Augur of Autumn","mid","Near Mint","English","","","2023-10-26 21:38:17.963000","168","False","False","3.91"
"1","1","Augur of Bolas","war","Near Mint","English","","","2023-10-26 21:38:17.963000","41","False","False","0.18"
"1","1","Aura Shards","cmd","Near Mint","English","","","2023-10-26 21:38:17.963000","182","False","False","17.32"
"1","1","Aurelia, the Warleader","2x2","Near Mint","English","","","2023-10-26 21:38:17.963000","179","False","False","6.06"
"1","1","Aurochs","cst","Near Mint","English","","","2023-10-26 21:38:17.963000","225","False","False","0.16"
"2","2","Austere Command","woc","Near Mint","English","","","2023-10-26 21:38:17.963000","62","False","False","0.63"
"2","2","Author of Shadows","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","35","False","False","0.23"
"2","2","Avacyn's Pilgrim","mic","Near Mint","English","","","2023-10-26 21:38:17.963000","132","False","False","0.33"
"2","2","Avarice Amulet","m15","Near Mint","English","","","2023-10-26 21:38:17.963000","212","False","False","0.21"
"1","1","Avatar of Slaughter","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","206","False","False","0.12"
"4","4","Aven Gagglemaster","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","5","False","False","0.02"
"2","2","Aven Heartstabber","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","166","False","False","0.07"
"4","4","Aven Mindcensor","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","688","False","False","0.21"
"2","2","Aven Sunstriker","dtk","Near Mint","English","","","2023-10-26 21:38:17.963000","5","False","False","0.09"
"3","3","Aven Wind Guide","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","195","False","False","0.20"
"2","2","Avenger of Zendikar","ncc","Near Mint","English","","","2023-10-26 21:38:17.963000","280","False","False","3.89"
"1","1","Aviary Mechanic","kld","Near Mint","English","","","2023-10-26 21:38:17.963000","6","False","False","0.04"
"4","4","Awaken the Erstwhile","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","61","False","False","0.27"
"2","2","Awakened Awareness","neo","Near Mint","English","","","2023-10-26 21:38:17.963000","47","False","False","0.01"
"1","1","Axelrod Gunnarson","chr","Near Mint","English","","","2023-10-26 21:38:17.963000","72","False","False","0.20"
"1","1","Azorius Aethermage","dis","Near Mint","English","","","2023-10-26 21:38:17.963000","104","False","False","0.19"
"6","6","Azorius Chancery","2x2","Near Mint","English","","","2023-10-26 21:38:17.963000","318","False","False","0.16"
"2","2","Azorius Charm","gk2","Near Mint","English","","","2023-10-26 21:38:17.963000","8","False","False","0.49"
"1","1","Azorius Guildgate","khc","Near Mint","English","","","2023-10-26 21:38:17.963000","107","False","False","0.99"
"1","1","Azorius Locket","voc","Near Mint","English","","","2023-10-26 21:38:17.963000","160","False","False","0.07"
"3","3","Azorius Signet","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","941","False","False","0.48"
"1","1","Azorius Skyguard","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","155","False","False","0.05"
"2","2","Azor's Elocutors","rtr","Near Mint","English","","","2023-10-26 21:38:17.963000","210","False","False","0.38"
"1","1","Azure Mage","mm3","Near Mint","English","","","2023-10-26 21:38:17.963000","31","False","False","0.10"
"2","2","Azusa, Lost but Seeking","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","274","False","False","2.96"
"2","2","Baba Lysaga, Night Witch","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","266","False","False","0.13"
"1","1","Back for Seconds","woe","Near Mint","English","","","2023-10-26 21:38:17.963000","80","False","False","0.11"
"1","1","Backdraft Hellkite","2x2","Near Mint","English","","","2023-10-26 21:38:17.963000","103","False","False","0.63"
"2","2","Baeloth Barrityl, Entertainer","clb","Near Mint","English","foil","","2023-10-26 21:38:17.963000","655","False","False","0.79"
"3","3","Bag of Holding","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","299","False","False","0.06"
"2","2","Baird, Steward of Argive","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","15","False","False","0.17"
"2","2","Bala Ged Recovery // Bala Ged Sanctuary","znr","Near Mint","English","","","2023-10-26 21:38:17.963000","180","False","False","2.76"
"1","1","Baldur's Gate","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","345","False","False","1.16"
"1","1","Balduvian Atrocity","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.02"
"1","1","Balduvian Bears","dkm","Near Mint","English","","","2023-10-26 21:38:17.963000","22","False","False","1.46"
"2","2","Balduvian Berserker","dmu","Near Mint","English","","","2023-10-26 21:38:17.963000","116","False","False","0.01"
"2","2","Baleful Ammit","akh","Near Mint","English","","","2023-10-26 21:38:17.963000","79","False","False","0.05"
"1","1","Baleful Force","c13","Near Mint","English","","","2023-10-26 21:38:17.963000","70","False","False","0.36"
"2","2","Baleful Strix","dmc","Near Mint","English","","","2023-10-26 21:38:17.963000","143","False","False","1.11"
"4","4","Ballroom Brawlers","snc","Near Mint","English","","","2023-10-26 21:38:17.963000","3","False","False","0.02"
"1","1","Bane Alley Broker","gtc","Near Mint","English","","","2023-10-26 21:38:17.963000","145","False","False","0.07"
"3","3","Bane of Progress","cma","Near Mint","English","","","2023-10-26 21:38:17.963000","91","False","False","2.46"
"3","3","Bane, Lord of Darkness","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","267","False","False","0.08"
"2","2","Bane's Contingency","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","57","False","False","0.17"
"2","2","Baneslayer Angel","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","6","False","False","2.09"
"1","1","Banewhip Punisher","hou","Near Mint","English","","","2023-10-26 21:38:17.963000","59","False","False","0.22"
"1","1","Banisher Priest","moc","Near Mint","English","","","2023-10-26 21:38:17.963000","173","False","False","0.05"
"2","2","Banishment","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","8","False","False","0.05"
"1","1","Bankrupt in Blood","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","62","False","False","0.13"
"1","1","Baral, Chief of Compliance","aer","Near Mint","English","","","2023-10-26 21:38:17.963000","28","False","False","1.62"
"2","2","Barbed Spike","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","5","False","False","0.03"
"3","3","Bard Class","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","217","False","False","0.69"
"3","3","Barren Moor","c21","Near Mint","English","","","2023-10-26 21:38:17.963000","277","False","False","0.14"
"2","2","Barricade Breaker","aer","Near Mint","English","","","2023-10-26 21:38:17.963000","144","False","False","0.06"
"1","1","Barrin, Tolarian Archmage","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","45","False","False","0.16"
"1","1","Barrowin of Clan Undurr","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","218","False","False","0.06"
"3","3","Barter in Blood","cma","Near Mint","English","","","2023-10-26 21:38:17.963000","48","False","False","0.11"
"1","1","Base Camp","znr","Near Mint","English","","","2023-10-26 21:38:17.963000","257","False","False","0.08"
"2","2","Basic Conjuration","stx","Near Mint","English","","","2023-10-26 21:38:17.963000","120","False","False","0.06"
"1","1","Basilica Bell-Haunt","rna","Near Mint","English","","","2023-10-26 21:38:17.963000","156","False","False","0.09"
"1","1","Basilica Guards","gtc","Near Mint","English","","","2023-10-26 21:38:17.963000","5","False","False","0.05"
"5","5","Basilisk Collar","clb","Near Mint","English","","","2023-10-26 21:38:17.963000","300","False","False","2.60"
"1","1","Basri Ket","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","7","False","False","1.07"
"2","2","Basri's Acolyte","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","8","False","False","0.02"
"1","1","Basri's Lieutenant","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","9","False","False","0.23"
"3","3","Basri's Solidarity","m21","Near Mint","English","","","2023-10-26 21:38:17.963000","10","False","False","0.12"
"2","2","Bastion of Remembrance","cmm","Near Mint","English","","","2023-10-26 21:38:17.963000","138","False","False","1.14"
"3","3","Batterbone","mh2","Near Mint","English","","","2023-10-26 21:38:17.963000","221","False","False","0.09"
"1","1","Battle at the Bridge","aer","Near Mint","English","","","2023-10-26 21:38:17.963000","53","False","False","0.29"
"1","1","Battle Brawler","frf","Near Mint","English","","","2023-10-26 21:38:17.963000","63","False","False","0.05"
"1","1","Battle Cry Goblin","afr","Near Mint","English","","","2023-10-26 21:38:17.963000","132","False","False","0.40"
"1","1","Battle Mastery","bbd","Near Mint","English","","","2023-10-26 21:38:17.963000","89","False","False","0.23"
